author_id,author,gender,COUNT of id
1,Ricardo Roa,M,146
2,Julio Blanck,M,34
3,Mario Riorda,M,3
4,Guillermo Lousteau Heguy,M,1
5,Carlos Pagni,M,77
6,Laura Di Marco,F,29
7,Luis Majul,M,16
8,Javier Porta Fouz,M,5
9,Carlos Cruz,M,1
10,Malena Pichot,F,23
11,Victoria Ginzberg,F,10
12,Karina Micheletto,F,5
13,Jorge Fontevecchia,M,51
14,Nelson Castro,M,25
15,Jaime Duran Barba,M,23
16,Sergio Berensztein,M,48
17,Gustavo González,M,25
18,Julio Petrarca,M,18
19,Hugo Asch,M,22
20,Luis Costa,M,12
21,Javier Calvo,M,25
22,Pablo Marchetti,M,12
23,Quintín,M,1
24,Guillermo Piro,M,20
25,Damián Tabarovsky,M,20
26,Guido L. Croxatto,M,6
27,Roberto García,M,27
28,Daniel Bilotta,M,21
29,Federico Poli,M,2
30,Federico Recagno,M,6
31,Héctor Zajac,M,9
32,Jorge Argüello,M,6
33,Fabián Casas,M,25
34,Daniel Guebel,M,25
35,Angélica Gorodischer,F,25
36,Daniel Link,M,25
37,Ricardo Kirschbaum,M,120
38,Marcelo Bonelli,M,56
39,Eugenio Díaz Bonilla,M,5
40,Padre Lic. Luis Rafael Velasco,M,4
41,Sebastián Fest,M,24
42,Cristian Grosso,M,4
43,Javier Saúl,M,1
44,Pablo Vignone,M,3
45,Carlos M. Reymundo Roberts,M,85
46,Francisco Olivera,M,45
47,Héctor M. Guyot,M,51
48,Eduardo Fidanza,M,49
49,Silvia Fesquet,F,109
50,Marcelo Cantelmi,M,84
51,Daniel Calvo,M,2
52,María Page,F,2
53,Gustavo Veiga,M,35
54,Diego Trerotola,M,1
55,Roxana Sandá,F,5
56,Jorge Lanata,M,19
57,Carlos De Angelis,M,22
58,Carlos Ares,M,12
59,Miguel Roig,M,8
60,Rafael Spregelburd,M,24
61,Martín Kohan,M,24
62,Martín Lozada,M,1
63,Irina Hauser,F,6
64,Edgardo Mocca,M,35
65,Eric Nepomuceno,M,59
66,Mario Wainfeld,M,108
67,Daniel Muchnik,M,7
68,Sergio Sinay,M,30
69,Carlos Gabetta,M,9
70,Eduardo van der Kooy,M,98
71,Alcadio Oña,M,91
72,Ricardo Lagos,M,14
73,Fernando Gonzalez,M,70
74,Ana María Mustapic,F,1
75,Osvaldo Pepe,M,2
76,Guillermo Oliveto,M,20
77,Alberto Armendáriz,M,5
78,Sergio Suppo,M,81
79,Andrea Aghazarian,F,2
80,Nicolás Trotta,M,6
81,Jorge Alemán,M,5
82,Mempo Giardinelli,M,63
83,Eduardo Aliverti,M,66
84,Norma Morandini,F,12
85,Manuel Gonzalo Casas,M,1
86,Hugo Alconada Mon,M,29
87,Valentín Muro,M,34
88,Hernán Cappiello,M,6
89,Dora Barrancos,F,3
90,Atilio A. Boron,M,46
91,Nicolás Kogan,M,1
92,Víctor Hugo Morales,M,2
93,Joaquín Morales Solá,M,91
94,José Del Rio,M,19
95,Jaime Rosemberg,M,14
96,Claudio Jacquelin,M,96
97,Dr. Daniel López Rosetti,M,9
98,Gustavo Ybarra,M,3
99,Fabiana Fondevila,F,7
100,María Zysman,F,3
101,Héctor Gambini,M,58
102,Daniel Fernández Canedo,M,60
103,Eduardo Menem,M,2
104,Alberto Dalla Vía,M,1
105,María Moreno,F,12
106,Claudio Scaletta,M,38
107,Luciana Peker,F,18
108,Gonzalo Abascal,M,21
109,Alieto Aldo Guadagni,M,16
110,Miguel Angel Santos,M,1
111,Martín Rodríguez Yebra,M,24
112,Nicolás Balinotti,M,12
113,Diego Angeli,M,34
114,Carlos Sanzol,M,1
115,Elisabetta Piqué,F,3
116,Silvina Friera,F,1
117,Washington Uranga,M,66
118,Javier Lewkowicz,M,1
119,Eduardo López * y Mariano Denegris,M,1
120,Eduardo Febbro,M,15
121,Martin Granovsky,M,14
122,Pablo Mendelevich,M,9
123,Emir Sader,M,67
124,Daniel Gigena,M,60
125,Rosendo Fraga,M,10
126,Gonzalo Diéguez,M,1
127,Ricardo Salgado,M,1
128,Mario Goloboff,M,2
129,Maxi Montenegro,M,4
130,Marcos Novaro,M,5
131,Fernando Laborda,M,66
132,Iván Ruiz,M,2
133,Jorge Liotti,M,40
134,Rodrigo Lloret,M,5
135,Vicente Palermo,M,14
136,Rogelio Alaniz,M,19
137,José Luis Di Lorenzo,M,1
138,Ricardo Forster,M,3
139,Joe Goldman,M,2
140,Luis Bruschtein,M,64
141,David Cufré,M,24
142,Ángel Núñez,M,3
143,Silvia Pisani,F,3
144,Alejandro Borensztein,M,16
145,Rodolfo Terragno,M,14
146,Jorge Fernández Díaz,M,39
147,Néstor O. Scibona,M,41
148,Pablo Sirvén,M,74
149,Juan Carlos de Pablo,M,42
150,Alejandro Catterberg,M,4
151,Andrés Malamud,M,4
152,Orlando Ferreres,M,1
153,Daniel Arroyo,M,2
154,Alfredo Zaiat,M,20
155,Comisión de Homenaje a Antonio Cafiero,X,1
156,Federico Kucher,M,1
157,Jairo Straccia,M,18
158,Horacio González,M,19
159,Beatriz Sarlo,F,7
160,Quintín,M,13
161,Cecilia Mosto,F,4
162,Gloria López Lecube,F,6
163,Diana Mondino,F,3
164,Mabel Bianco,F,5
165,Artemio López,M,10
166,Ignacio Zuleta,M,65
167,Marita Carballo,F,10
168,Vicente Espeche Gil,M,1
169,Luis Raffagheli (*,M,1
170,Máximo Kank,M,1
171,Redacción Perfil,X,2
172,Nicolás Litvinoff,M,51
173,Alexia Rattazzi,F,8
174,Miguel Angel Fernández Pastor,M,1
175,Luis A. Raffaghelli,M,1
176,Cecilia “Checha” Merchán,F,1
177,Juan Gabriel Tokatlian,M,22
178,Walter Agosto,M,1
179,Rafael Mathus Ruiz,M,7
180,Soledad Vallejos,F,18
181,Loris Zanatta,M,40
182,Daniel Gallo,M,3
183,Fernando Iglesias,M,3
184,Mariana Arias,F,33
185,Luis Vedoya,M,1
186,Diana Wang,F,16
187,Ricardo Haye,M,3
188,Equipo PCOC-UBA,X,1
189,Kevin Casas Zamora,M,2
190,Magda Tagtachian,F,5
191,Anne Hidalgo - Horacio Rodríguez Larreta,F,1
192,Francisco Cafiero,M,3
193,Marcelo Justo,M,5
194,Juan José Panno,M,32
195,Emilio Cárdenas,M,56
196,Bernardo Stamateas,M,58
197,Sofía Contreras,F,7
198,Martín Redrado,M,1
199,Ricardo Monner Sans,M,4
200,Laura Serra,F,7
201,Elena Llorente,F,1
202,Miguel Hein,M,15
203,María Matilde Ollier,F,6
204,Mario Eduardo Cohen,M,2
205,Miguel Wiñazki,M,30
206,Gisela Marziotta,F,1
207,Bet Gerber,F,1
208,Facundo Manes,M,16
209,Guido Risso,M,5
210,Bernarda Llorente y Claudio Villarruel,X,5
211,Ricardo Arriazu,M,15
212,Francis Mallmann,M,8
213,Iván de Pineda,M,6
214,Diego Golombek,M,6
215,Javier Arroyuelo,M,3
216,Rafael Klejzer y Laura Bitto,X,1
218,Silvia Ramírez Gelbes,F,9
219,Agustín Salvia,M,5
220,Selva Almada,F,7
222,Mario Vargas Llosa,M,27
223,Claudio Mauri,M,1
224,Ángeles Castro,F,1
225,Leonardo Ferri,M,7
226,Fabiana Kramarz,F,1
227,Mercedes López San Miguel,F,3
228,Eduardo Jozami,M,9
229,Mariano Borinsky,M,5
