id,title,site,url,added,last_seen,author_id,id,author,gender
5,"La dualidad del Gobierno que tiene inquieto a todo Comodoro Py",lanacion,/2087269-la-dualidad-del-gobierno-que-tiene-inquieto-a-todo-comodoro-py,2017-12-01T17:16:11-03:00,2017-12-01T17:16:11-03:00,5,5,"Carlos Pagni",M
6,"Macri pone a prueba la inmunidad poselectoral",lanacion,/2087322-macri-pone-a-prueba-la-inmunidad-poselectoral,2017-12-01T17:16:11-03:00,2017-12-01T17:16:11-03:00,6,6,"Laura Di Marco",F
7,"El Presidente, decidido a poner toda la carne en el asador",lanacion,/2087323-el-presidente-decidido-a-poner-toda-la-carne-en-el-asador,2017-12-01T17:16:11-03:00,2017-12-01T17:16:11-03:00,7,7,"Luis Majul",M
8,"¿Cuántos estrenos de cine son demasiados?",lanacion,/2087189-cuantos-estrenos-de-cine-son-demasiados,2017-12-01T17:16:11-03:00,2017-12-01T17:16:11-03:00,8,8,"Javier Porta Fouz",M
9,"Apuntes para la militancia",pagina12,https://www.pagina12.com.ar/79612-apuntes-para-la-militancia,2017-12-01T18:48:20-03:00,2017-12-01T18:48:20-03:00,9,9,"Carlos Cruz",M
10,"La razón de mi violencia",pagina12,https://www.pagina12.com.ar/79531-la-razon-de-mi-violencia,2017-12-02T16:42:51-03:00,2017-12-06T15:50:48-03:00,10,10,"Malena Pichot",F
11,"Gracias a los que marcharon contra el 2x1",pagina12,https://www.pagina12.com.ar/79388-gracias-a-los-que-marcharon-contra-el-2-x-1,2017-12-01T18:48:20-03:00,2017-12-01T18:48:20-03:00,11,11,"Victoria Ginzberg",F
12,"Litto Nebbia, Intimo y convocante",pagina12,https://www.pagina12.com.ar/79577-intimo-y-convocante,2017-12-01T18:48:20-03:00,2017-12-01T18:48:20-03:00,12,12,"Karina Micheletto",F
13,"Sacaba 10 en impuestos y fabricó la mayor deuda con la AFIP",perfil,/columnistas/sacaba-10-en-impuestos-y-fabrico-la-mayor-deuda-con-la-afip.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,13,13,"Jorge Fontevecchia",M
14,"Ultimo eslabón",perfil,/columnistas/ultimo-eslabon.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,14,14,"Nelson Castro",M
15,"Chile y la vieja política",perfil,/columnistas/chile-y-la-vieja-politica.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,15,15,"Jaime Duran Barba",M
16,"Déficit de estructura",perfil,/columnistas/deficit-de-estructura.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,16,16,"Sergio Berensztein",M
17,"Las otras caras de un rescate",perfil,/columnistas/las-otras-caras-de-un-rescate.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,17,17,"Gustavo González",M
18,"Para separar la paja del trigo",perfil,/columnistas/para-separar-la-paja-del-trigo.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,18,18,"Julio Petrarca",M
19,"Es tan triste, todo, acá",perfil,/columnistas/hugo-asch-es-tan-triste-todo-aca.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,19,19,"Hugo Asch",M
20,"La bandera de fondo",perfil,/columnistas/la-bandera-de-fondo.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,20,20,"Luis Costa",M
21,"Cambios en la reacción oficial: de Maldonado al San Juan",perfil,/columnistas/cambios-en-la-reaccion-oficial-de-maldonado-al-san-juan.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,21,21,"Javier Calvo",M
22,"La grieta submarina",perfil,/columnistas/la-grieta-submarina.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,22,22,"Pablo Marchetti",M
23,"Cosas que no sabemos",perfil,/columnistas/cosas-que-no-sabemos.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,23,23,"Quintín ",M
24,"Por qué los libros derrotaron al Kindle",perfil,/columnistas/por-que-los-libros-derrotaron-al-kindle.phtml,2017-12-01T19:12:04-03:00,2017-12-01T19:12:04-03:00,24,24,"Guillermo Piro",M
